anno,anni_da_conseguimento_titolo,gruppo,ateneo,numero_laureati,percentuale_maschi,percentuale_femmine,tasso_occupazione_totale,tasso_disoccupazione_totale,retribuzione_mensile_maschi,retribuzione_mensile_femmine,retribuzione_mensile
2008,1,tutti,tutti,156293.0,39.6,60.4,59.9,14.9,1190.0,955.0,1050.0
2009,1,tutti,tutti,161218.0,39.8,60.2,57.5,18.0,1172.0,945.0,1035.0
2010,1,tutti,tutti,177782.0,39.4,60.6,58.1,19.0,1131.0,921.0,1003.0
2011,1,tutti,tutti,185242.0,39.4,60.6,56.4,21.4,1124.0,904.0,991.0
2012,1,tutti,tutti,214137.0,39.6,60.4,55.6,23.4,1069.0,859.0,942.0
2013,1,tutti,tutti,220601.0,39.7,60.3,52.6,26.3,1053.0,827.0,917.0
2014,1,tutti,tutti,229566.0,39.6,60.4,51.8,26.6,1079.0,856.0,945.0
2015,1,tutti,tutti,265115.0,39.7,60.3,52.3,23.4,1152.0,934.0,1021.0
2016,1,tutti,tutti,262347.0,40.4,59.6,52.5,21.3,1172.0,953.0,1041.0
2017,1,tutti,tutti,269695.0,40.8,59.2,55.1,18.2,1165.0,937.0,1029.0
2018,1,tutti,tutti,272649.0,40.9,59.1,52.9,16.9,1238.0,1028.0,1113.0
2019,1,tutti,tutti,277873.0,41.4,58.6,53.5,15.2,1277.0,1063.0,1150.0
2020,1,tutti,tutti,287027.0,41.5,58.5,48.0,18.8,1322.0,1145.0,1218.0
2021,1,tutti,tutti,287517.0,41.5,58.5,53.5,14.4,1321.0,1167.0,1232.0
2022,1,tutti,tutti,296397.0,40.7,59.3,56.5,11.2,1388.0,1204.0,1281.0
2023,1,tutti,tutti,279008.0,40.4,59.6,55.3,11.3,1451.0,1269.0,1343.0
2024,1,tutti,tutti,307434.0,40.4,59.6,60.2,11.0,1536.0,1323.0,1410.0
2008,3,tutti,tutti,29051.0,38.4,61.6,81.8,9.9,1339.0,1052.0,1167.0
2009,3,tutti,tutti,22016.0,38.1,61.9,77.7,12.9,1299.0,1015.0,1131.0
2010,3,tutti,tutti,38450.0,41.1,58.9,87.7,7.1,1465.0,1151.0,1285.0
2011,3,tutti,tutti,54124.0,39.4,60.6,85.2,8.9,1401.0,1103.0,1223.0
2012,3,tutti,tutti,64610.0,38.5,61.5,83.5,10.1,1351.0,1058.0,1173.0
2013,3,tutti,tutti,72174.0,38.7,61.3,81.1,12.7,1340.0,1043.0,1162.0
2014,3,tutti,tutti,88097.0,39.2,60.8,79.9,13.5,1336.0,1063.0,1173.0
2015,3,tutti,tutti,107654.0,39.5,60.5,79.6,12.6,1389.0,1124.0,1233.0
2016,3,tutti,tutti,108961.0,39.5,60.5,80.1,11.6,1421.0,1162.0,1268.0
2017,3,tutti,tutti,110188.0,38.9,61.1,82.5,9.5,1447.0,1175.0,1283.0
2018,3,tutti,tutti,110269.0,40.1,59.9,81.8,9.5,1493.0,1232.0,1341.0
2019,3,tutti,tutti,114080.0,40.3,59.7,84.4,8.2,1530.0,1277.0,1382.0
2020,3,tutti,tutti,116724.0,40.4,59.6,83.9,8.3,1559.0,1322.0,1421.0
2021,3,tutti,tutti,118610.0,41.2,58.8,85.7,6.4,1582.0,1392.0,1474.0
2022,3,tutti,tutti,122086.0,41.3,58.7,86.1,5.5,1648.0,1448.0,1532.0
2023,3,tutti,tutti,123613.0,41.0,59.0,85.6,6.0,1704.0,1502.0,1586.0
2024,3,tutti,tutti,132020.0,40.7,59.3,89.3,4.5,1783.0,1559.0,1654.0
2008,5,tutti,tutti,22330.0,39.7,60.3,89.6,5.0,1566.0,1203.0,1348.0
2009,5,tutti,tutti,27248.0,39.2,60.8,86.9,7.5,1533.0,1178.0,1321.0
2010,5,tutti,tutti,29998.0,38.2,61.8,85.0,8.6,1508.0,1157.0,1296.0
2011,5,tutti,tutti,21882.0,38.1,61.9,83.5,10.0,1428.0,1108.0,1238.0
2012,5,tutti,tutti,41257.0,38.5,61.5,90.1,5.9,1623.0,1256.0,1399.0
2013,5,tutti,tutti,54112.0,39.4,60.6,87.6,7.9,1560.0,1195.0,1343.0
2014,5,tutti,tutti,64601.0,38.5,61.5,86.5,8.5,1518.0,1182.0,1315.0
2015,5,tutti,tutti,86041.0,38.9,61.1,84.8,8.9,1557.0,1224.0,1359.0
2016,5,tutti,tutti,103293.0,39.3,60.7,84.4,8.7,1561.0,1250.0,1376.0
2017,5,tutti,tutti,108372.0,39.3,60.7,86.3,7.1,1596.0,1266.0,1401.0
2018,5,tutti,tutti,109686.0,39.4,60.6,85.2,7.0,1633.0,1322.0,1448.0
2019,5,tutti,tutti,110293.0,38.9,61.1,86.6,6.3,1670.0,1366.0,1487.0
2020,5,tutti,tutti,110371.0,40.1,59.9,87.5,6.0,1702.0,1427.0,1541.0
2021,5,tutti,tutti,114074.0,40.3,59.7,88.6,4.6,1752.0,1519.0,1615.0
2022,5,tutti,tutti,116860.0,40.5,59.5,88.6,4.3,1841.0,1570.0,1682.0
2023,5,tutti,tutti,118779.0,41.2,58.8,88.1,4.7,1898.0,1644.0,1749.0
2024,5,tutti,tutti,123118.0,41.3,58.7,89.9,3.9,1994.0,1715.0,1832.0
2008,1,1,tutti,7454.0,9.6,90.4,72.1,15.0,1172.0,933.0,957.0
2009,1,1,tutti,8123.0,8.4,91.6,74.5,13.9,1222.0,959.0,982.0
2010,1,1,tutti,9859.0,7.6,92.4,75.7,12.9,1149.0,951.0,967.0
2011,1,1,tutti,9481.0,7.8,92.2,71.1,17.2,1174.0,936.0,956.0
2012,1,1,tutti,11242.0,7.1,92.9,73.0,16.8,1135.0,921.0,938.0
2013,1,1,tutti,10979.0,7.2,92.8,67.8,20.6,1158.0,890.0,911.0
2014,1,1,tutti,12041.0,6.8,93.2,69.3,19.3,1149.0,897.0,915.0
2015,1,1,tutti,13500.0,6.6,93.4,68.7,18.1,1131.0,947.0,960.0
2016,1,1,tutti,11422.0,6.4,93.6,66.5,17.5,1156.0,910.0,928.0
2017,1,1,tutti,11795.0,6.1,93.9,68.0,15.3,1086.0,870.0,884.0
2018,1,1,tutti,13045.0,5.9,94.1,66.4,14.3,1128.0,966.0,976.0
2019,1,1,tutti,13078.0,5.9,94.1,67.3,13.1,1149.0,1006.0,1015.0
2020,1,1,tutti,13833.0,5.8,94.2,64.3,14.4,1155.0,1049.0,1055.0
2021,1,1,tutti,14509.0,6.2,93.8,68.1,11.0,1208.0,1111.0,1117.0
