gruppo_id,anno,percentuale_maschi,percentuale_femmine,gruppo_nome,eta_meno23,eta_23_24,eta_25_26,eta_27_oltre,cs_classe_elevata,cs_media_impiegatizia,cs_media_autonoma,cs_lavoro_esecutivo,diploma_liceale,diploma_classico,diploma_linguistico,diploma_scientifico,diploma_scienze_umane,diploma_artistico,diploma_tecnico,diploma_tecnico_economico,diploma_tecnico_tecnologico,diploma_professionale,diploma_titolo_estero
tutti,2004,41.1,58.9,tutti,14.3,24.4,24.3,36.9,,,,,67.0,16.6,5.0,36.9,7.0,1.5,26.1,13.6,8.8,3.4,1.3
tutti,2005,40.3,59.7,tutti,17.5,27.5,21.7,33.3,,,,,68.7,17.9,5.7,37.0,6.6,1.5,24.8,13.8,9.6,3.1,1.6
tutti,2006,40.2,59.8,tutti,17.6,28.7,21.0,32.8,,,,,68.2,17.0,5.5,36.4,7.5,1.7,26.6,15.7,10.4,2.9,1.7
tutti,2007,39.3,60.7,tutti,17.7,29.1,21.7,31.5,,,,,68.1,16.3,5.9,35.8,8.2,1.8,26.8,16.1,10.4,2.9,1.9
tutti,2008,39.9,60.1,tutti,17.3,29.0,23.4,30.3,,,,,67.8,15.8,6.1,36.2,7.8,1.9,27.0,16.0,10.9,2.9,2.1
tutti,2009,39.9,60.1,tutti,16.8,28.6,24.0,30.6,,,,,67.9,15.3,6.6,36.2,7.9,1.9,26.8,15.9,10.9,2.9,2.2
tutti,2010,39.7,60.3,tutti,17.3,28.1,24.2,30.4,,,,,68.9,14.9,7.0,37.4,7.6,1.9,25.8,15.2,10.6,2.8,2.4
tutti,2011,39.8,60.2,tutti,17.1,28.4,24.1,30.5,,,,,70.1,15.0,7.0,38.4,7.8,1.9,24.9,14.7,10.2,2.6,2.3
tutti,2012,39.8,60.2,tutti,17.7,29.0,23.5,29.8,,,,,71.4,15.3,6.9,39.3,7.9,2.0,23.5,13.7,9.8,2.6,2.4
tutti,2013,39.7,60.3,tutti,18.4,29.2,23.7,28.7,,,,,72.6,15.4,6.9,40.1,8.1,2.1,22.3,13.1,9.2,2.5,2.5
